Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,1000
1,0,96,0,1000
2,0,188,0,1000
3,0,282,0,0
4,0,375,0,0
5,0,461,8,0
6,0,552,8,0
7,0,646,8,0
8,0,739,8,0
9,0,833,8,0
10,0,927,8,0
11,0,992,8,0
12,2,992,6,0
13,2,992,6,0
14,2,992,6,0
15,2,992,6,0
16,2,992,6,0
17,2,992,6,0
18,2,992,6,0
19,2,992,6,0
20,2,992,6,0
21,2,992,6,0
22,2,992,6,0
23,2,992,6,0
24,2,992,6,0
25,2,992,6,0
26,2,992,6,0
27,2,992,6,0
28,2,992,6,0
29,2,992,6,0
30,2,992,6,0
31,2,992,6,0
32,2,992,6,0
33,2,992,6,0
34,2,992,6,0
35,2,992,6,0
36,2,992,6,0
37,2,992,6,0
38,2,992,6,0
39,2,992,6,0
40,2,992,6,0
41,2,992,6,0
42,2,992,6,0
43,2,992,6,0
44,2,992,6,0
45,2,992,6,0
46,2,992,6,0
47,2,992,6,0
48,2,992,6,0
49,2,992,6,0
50,2,992,6,0
51,2,992,6,0
52,2,992,6,0
53,2,992,6,0
54,2,992,6,0
55,2,992,6,0
56,2,992,6,0
57,2,992,6,0
58,2,992,6,0
59,2,992,6,0
60,2,992,6,0
61,2,992,6,0
62,2,992,6,0
63,2,992,6,0
64,2,992,6,0
65,2,992,6,0
66,2,992,6,0
67,2,992,6,0
68,2,992,6,0
69,2,992,6,0
70,2,992,6,0
71,2,992,6,0
72,2,992,6,0
73,2,992,6,0
74,2,992,6,0
75,2,992,6,0
76,2,992,6,0
77,2,992,6,0
78,2,992,6,0
79,2,992,6,0
80,1,992,7,0
81,1,992,7,0
82,1,992,7,0
83,1,992,7,0
84,1,992,7,0
85,1,992,7,0
86,1,992,7,0
87,1,992,7,0
88,1,992,7,0
89,1,992,7,0
90,1,992,7,0
91,1,992,7,0
92,1,992,7,0
93,1,992,7,0
94,1,992,7,0
95,1,992,7,0
96,1,992,7,0
97,1,992,7,0
98,1,992,7,0
99,1,992,7,0
100,1,992,7,0
101,1,992,7,0
102,1,992,7,0
103,1,992,7,0
104,1,992,7,0
105,1,992,7,0
106,1,992,7,0
107,1,992,7,0
108,1,992,7,0
109,1,992,7,0
110,1,992,7,0
111,1,992,7,0
112,1,992,7,0
113,1,992,7,0
114,1,992,7,0
115,1,992,7,0
116,1,992,7,0
117,1,992,7,0
118,1,992,7,0
119,1,992,7,0
120,1,992,7,0
121,1,992,7,0
122,1,992,7,0
123,1,992,7,0
124,8,992,0,0
125,8,992,0,0
126,8,992,0,0
127,8,992,0,0
128,8,992,0,0
129,8,992,0,0
130,8,992,0,0
131,87,913,0,01132,87,913,0,0
133,275,725,0,0
134,275,725,0,0
135,461,539,0,0
136,461,539,0,0
137,651,349,0,0
138,651,349,0,0
139,842,158,0,0
140,842,158,0,0
141,999,0,1,0
142,999,0,1,0
143,999,0,1,0
144,999,0,1,0
145,999,0,1,0
146,999,0,1,0
147,999,0,1,0
148,999,0,1,0
149,999,0,1,0
150,999,0,1,0
151,999,0,1,0
152,999,0,1,0
153,999,0,1,0
154,999,0,1,0
155,999,0,1,0
156,999,0,1,0
157,999,0,1,0
158,999,0,1,0
159,999,0,1,0
160,999,0,1,0
161,999,0,1,0
162,999,0,1,0
163,999,0,1,0
164,999,0,1,0
165,999,0,1,0
166,999,0,1,0
167,999,0,1,0
168,999,0,1,0
169,999,0,1,0
170,999,0,1,0
171,999,0,1,0
172,999,0,1,0
173,999,0,1,0
174,999,0,1,0
175,999,0,1,0
176,999,0,1,0
177,999,0,1,0
178,999,0,1,0
179,999,0,1,0
180,999,0,1,0
181,999,0,1,1000
3,0
170,987,0,13,0
171,987,0,13,0
172,987,0,13,0
173,987,0,13,0
174,987,0,13,0
175,987,0,13,0
176,987,0,13,0
177,987,0,13,0
178,987,0,13,0
179,987,0,13,0
180,987,0,13,0
181,987,0,13,0
0,39,0
,0
174,901,0,99,0
175,901,0,99,0
176,901,0,99,0
177,901,0,99,0
178,901,0,99,0
179,901,0,99,0
180,901,0,99,0
181,901,0,99,0
