Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,1000
1,0,3,93,1000
2,0,3,186,1000
3,0,55,228,1000
4,0,148,228,1000
5,0,243,228,1000
6,0,334,228,0
7,0,427,228,0
8,0,522,228,0
9,0,615,228,0
10,0,708,228,0
11,0,772,228,0
12,0,772,228,0
13,0,772,228,0
14,0,772,228,0
15,0,772,228,0
16,0,772,228,0
17,0,772,228,0
18,0,772,228,0
19,0,772,228,0
20,0,772,228,0
21,0,772,228,0
22,0,772,228,0
23,0,772,228,0
24,0,772,228,0
25,0,772,228,0
26,0,772,228,0
27,0,772,228,0
28,0,772,228,0
29,0,772,228,0
30,0,772,228,0
31,0,772,228,0
32,0,772,228,0
33,0,772,228,0
34,0,772,228,0
35,0,772,228,0
36,0,772,228,0
37,0,772,228,0
38,0,772,228,0
39,0,772,228,0
40,0,772,228,0
41,0,772,228,0
42,0,772,228,0
43,0,772,228,0
44,0,772,228,0
45,0,772,228,0
46,0,772,228,0
47,0,772,228,0
48,0,772,228,0
49,0,772,228,0
50,0,772,228,0
